Date,Open,High,Low,Close,Volume,Adj Close
2014-06-20,3302.36,3302.36,3302.36,3302.36,000,3302.36
2014-06-19,3314.80,3314.80,3314.80,3314.80,000,3314.80
2014-06-18,3279.20,3279.20,3279.20,3279.20,000,3279.20
2014-06-17,3275.33,3275.33,3275.33,3275.33,000,3275.33
2014-06-16,3261.42,3261.42,3261.42,3261.42,000,3261.42
2014-06-13,3282.84,3282.84,3282.84,3282.84,000,3282.84
2014-06-12,3284.28,3284.28,3284.28,3284.28,000,3284.28
2014-06-04,3237.93,3237.93,3237.93,3237.93,000,3237.93
2014-06-03,3241.04,3241.04,3241.04,3241.04,000,3241.04
2014-06-02,3247.80,3247.80,3247.80,3247.80,000,3247.80
2014-05-30,3244.60,3244.60,3244.60,3244.60,000,3244.60
2014-05-29,3244.66,3244.66,3244.66,3244.66,000,3244.66
2014-05-28,3246.24,3246.24,3246.24,3246.24,000,3246.24
2014-05-27,3244.28,3244.28,3244.28,3244.28,000,3244.28
2014-05-26,3240.39,3240.39,3240.39,3240.39,000,3240.39
2014-05-23,3203.28,3203.28,3203.28,3203.28,000,3203.28
2014-05-22,3187.63,3187.63,3187.63,3187.63,000,3187.63
2014-05-21,3187.08,3187.08,3187.08,3187.08,000,3187.08
2014-05-20,3163.93,3163.93,3163.93,3163.93,000,3163.93
2014-05-19,3169.90,3169.90,3169.90,3169.90,000,3169.90
2014-05-16,3172.72,3172.72,3172.72,3172.72,000,3172.72
2014-05-15,3163.22,3163.22,3163.22,3163.22,000,3163.22
2014-05-14,3210.42,3210.42,3210.42,3210.42,000,3210.42
2014-05-13,3211.78,3211.78,3211.78,3211.78,000,3211.78
2014-05-12,3206.97,3206.97,3206.97,3206.97,000,3206.97
2014-05-09,3184.09,3184.09,3184.09,3184.09,000,3184.09
2014-05-08,3204.30,3204.30,3204.30,3204.30,000,3204.30
2014-05-07,3159.67,3159.67,3159.67,3159.67,000,3159.67
2014-05-06,3149.79,3149.79,3149.79,3149.79,000,3149.79
2014-05-05,3171.29,3171.29,3171.29,3171.29,000,3171.29
2014-05-02,3177.89,3177.89,3177.89,3177.89,000,3177.89
2014-05-01,3198.66,3198.66,3198.66,3198.66,000,3198.66
2014-04-30,3198.39,3198.39,3198.39,3198.39,000,3198.39
2014-04-29,3208.68,3208.68,3208.68,3208.68,000,3208.68
2014-04-28,3165.84,3165.84,3165.84,3165.84,000,3165.84
2014-04-25,3147.40,3147.40,3147.40,3147.40,000,3147.40
2014-04-24,3189.81,3189.81,3189.81,3189.81,000,3189.81
2014-04-23,3175.97,3175.97,3175.97,3175.97,000,3175.97
2014-04-22,3199.69,3199.69,3199.69,3199.69,000,3199.69
2014-04-17,3155.81,3155.81,3155.81,3155.81,000,3155.81
2014-04-16,3139.26,3139.26,3139.26,3139.26,000,3139.26
2014-04-15,3091.52,3091.52,3091.52,3091.52,000,3091.52
2014-04-14,3131.57,3131.57,3131.57,3131.57,000,3131.57
2014-04-11,3116.54,3116.54,3116.54,3116.54,000,3116.54
2014-04-10,3152.86,3152.86,3152.86,3152.86,000,3152.86
2014-04-09,3182.79,3182.79,3182.79,3182.79,000,3182.79
2014-04-08,3177.66,3177.66,3177.66,3177.66,000,3177.66
2014-04-07,3185.97,3185.97,3185.97,3185.97,000,3185.97
2014-04-04,3230.33,3230.33,3230.33,3230.33,000,3230.33
2014-04-03,3206.76,3206.76,3206.76,3206.76,000,3206.76
2014-04-02,3187.45,3187.45,3187.45,3187.45,000,3187.45
2014-04-01,3186.34,3186.34,3186.34,3186.34,000,3186.34
2014-03-31,3161.60,3161.60,3161.60,3161.60,000,3161.60
2014-03-28,3172.43,3172.43,3172.43,3172.43,000,3172.43
2014-03-27,3133.75,3133.75,3133.75,3133.75,000,3133.75
2014-03-26,3130.17,3130.17,3130.17,3130.17,000,3130.17
2014-03-25,3096.64,3096.64,3096.64,3096.64,000,3096.64
2014-03-24,3052.91,3052.91,3052.91,3052.91,000,3052.91
2014-03-21,3096.49,3096.49,3096.49,3096.49,000,3096.49
2014-03-20,3088.90,3088.90,3088.90,3088.90,000,3088.90
2014-03-19,3076.36,3076.36,3076.36,3076.36,000,3076.36
2014-03-18,3073.75,3073.75,3073.75,3073.75,000,3073.75
2014-03-17,3049.19,3049.19,3049.19,3049.19,000,3049.19
2014-03-14,3004.64,3004.64,3004.64,3004.64,000,3004.64
2014-03-13,3019.54,3019.54,3019.54,3019.54,000,3019.54
