americas_bvsp,americas_gsptse,americas_ipsa,americas_merv,americas_mxx,asia_000001ss,asia_aord,asia_axjo,asia_bsesn,asia_hsi,asia_jkse,asia_klse,asia_ks11,asia_n225,asia_nz50,asia_sti,asia_twii,europe_aex,europe_atx,europe_bfx,europe_fchi,europe_ftse,europe_gdat,europe_gdaxi,europe_omxspi,europe_oseax,europe_ssmi,europe_stoxx50e,us_bank,us_bkx,us_gspc,us_inds,us_insr,us_ixco,us_ixic,us_ixtc,us_mid,us_nbi,us_ndx,us_ny,us_nya,us_nyi,us_nyl,us_nyy,us_oex,us_ofin,us_rua,us_rui,us_rut,us_sox,us_tran,us_vix,us_xax,us_xmi
51817.0,14554.3,3869.16,6728.15,40407.93,2057.03,5515.5,5531.0,0.0,22562.8,4891.08,1865.28,1998.34,14404.99,5153.96,3283.93,8945.45,397.1,2517.27,3129.31,4479.54,6703.0,1230.55,9548.68,441.69,625.11,8409.1,3189.81,2552.42,69.37,1878.61,3610.7,6159.04,2066.26,4148.34,250.95,1363.33,2399.06,3591.03,7988.97,10575.91,5744.3,7154.03,7112.17,831.6,5443.52,1124.5,1048.25,1144.35,591.64,3157.7,13.32,2619.13,1842.56
51399.0,14533.6,3823.65,6557.29,40198.4,2036.52,0.0,0.0,22688.07,22223.53,4897.64,1860.98,1971.66,14429.26,0.0,3267.57,8774.12,392.85,2477.72,3105.9,4443.63,6685.7,1223.14,9401.55,440.81,628.91,8374.5,3147.4,2518.01,68.55,1863.4,3532.74,6080.93,2036.35,4075.56,246.4,1347.22,2341.43,3533.1,7944.19,10505.01,5712.68,7114.19,7052.4,825.56,5378.02,1113.75,1039.03,1123.03,572.19,3110.03,14.06,2613.57,1837.58
51384.0,14530.9,3812.86,6790.62,40136.57,2003.49,5516.1,5536.1,22631.61,22132.53,4818.76,1855.74,1969.26,14288.23,5115.8,3242.71,8809.71,393.73,2480.11,3107.92,4460.53,6700.2,1193.95,9446.36,439.95,629.98,8384.9,3165.84,2506.67,67.72,1869.43,3516.43,6067.32,2047.33,4074.4,246.07,1342.36,2331.98,3545.03,7975.89,10526.52,5737.55,7143.54,7083.8,830.26,5355.19,1115.64,1041.41,1117.06,568.55,3075.06,13.97,2615.2,1846.9
51839.0,14583.1,3846.91,6827.58,40702.67,2020.34,5466.9,5486.6,22466.19,22453.89,4819.68,1859.34,1964.77,14288.23,5148.29,3237.74,8872.11,398.47,2526.99,3116.27,4497.68,6769.9,1195.2,9584.12,443.82,642.04,8434.7,3208.68,2494.14,68.26,1878.33,3531.83,6080.81,2060.74,4103.54,247.97,1348.25,2394.42,3573.99,8011.3,10583.65,5781.77,7183.92,7164.38,834.32,5391.25,1121.14,1046.68,1120.83,572.99,3064.73,13.71,2635.91,1859.31
51626.0,14651.9,3909.64,6782.01,40711.56,2026.36,5470.8,5489.1,22417.8,22133.97,4840.15,1871.52,1961.79,14304.11,5232.68,3264.71,8791.44,400.55,2525.22,3089.8,4487.39,6780.0,1232.12,9603.23,442.53,643.2,8476.7,3198.39,2502.65,68.43,1883.95,3545.78,6097.66,2065.6,4114.56,248.75,1355.96,2402.38,3582.02,8034.15,10627.17,5808.04,7208.93,7231.84,836.08,5406.44,1125.08,1050.2,1126.86,575.97,3094.83,13.41,2612.52,1866.41
0.0,14664.1,0.0,0.0,0.0,0.0,5430.4,5448.8,0.0,0.0,0.0,0.0,0.0,14485.13,5209.21,0.0,0.0,0.0,0.0,0.0,0.0,6808.9,1232.12,0.0,0.0,0.0,0.0,3198.66,2493.59,68.19,1883.68,3560.18,6158.72,2069.22,4127.45,248.14,1358.57,2428.5,3594.36,8019.32,10629.34,5820.17,7206.18,7238.53,835.41,5415.69,1125.5,1050.69,1125.97,573.86,3130.33,13.25,2631.8,1858.42
52980.0,14765.2,3929.85,0.0,40967.95,0.0,5438.8,5458.1,22403.89,22260.67,4838.76,1869.08,1959.44,14457.51,5232.91,3252.55,8867.32,399.23,2527.51,3095.66,4458.17,6822.4,1240.16,9556.02,442.3,648.82,8442.7,3177.89,2502.88,68.55,1881.14,3569.86,6191.41,2067.02,4123.9,248.08,1361.57,2392.81,3587.64,8007.34,10629.99,5821.91,7200.24,7223.91,833.86,5405.79,1124.68,1049.64,1128.8,575.49,3128.69,12.91,2613.74,1854.2
53446.0,14697.0,3907.0,6888.35,41047.88,2027.35,5443.4,5462.2,22445.12,21976.33,4842.5,1860.54,0.0,0.0,5200.25,3241.6,8870.43,397.44,2502.04,3089.06,4462.69,0.0,1232.52,9529.5,441.79,647.85,8409.1,3171.29,2486.87,68.14,1884.66,3578.4,6187.06,2072.54,4138.06,247.91,1361.69,2435.7,3605.09,8010.02,10630.14,5814.61,7198.38,7241.67,835.15,5393.21,1126.38,1051.56,1126.3,575.94,3109.43,13.29,2616.84,1859.4
53780.0,14612.3,3891.53,6813.48,41470.82,2028.04,5462.7,5481.4,22508.42,0.0,4834.47,1860.43,0.0,14457.51,5174.9,3245.56,8912.39,396.54,2480.29,3089.51,4428.07,6798.6,1215.08,9467.53,440.66,649.17,8395.8,3149.79,2454.23,67.13,1867.72,3523.87,6130.19,2044.75,4080.76,245.85,1351.56,2395.15,3556.51,7949.27,10568.68,5812.95,7163.4,7218.7,827.06,5319.72,1115.67,1042.15,1108.01,573.48,3097.65,13.8,2611.25,1845.53
54053.0,14656.4,3903.68,6921.64,41803.13,2010.08,5419.1,5435.8,22323.9,21746.26,4862.07,1860.43,1939.88,14033.45,5189.13,3236.43,8893.22,398.59,2470.74,3108.02,4446.44,6796.4,1231.25,9521.3,437.73,651.26,8421.7,3159.67,2477.87,67.94,1878.21,3515.66,6172.83,2032.96,4067.67,245.59,1357.46,2378.87,3546.47,8009.57,10626.84,5822.86,7201.93,7222.61,832.0,5343.5,1121.08,1047.58,1108.55,573.99,3121.13,13.4,2620.74,1855.73
